%Vec Object: 12 MPI processes
%  type: mpi
Vec_0x558036bba930_1 = [
-7.3413389698489616e-07 - 4.7139267031349890e-07i
-1.8136773117477089e-06 - 1.1645752833142334e-06i
-9.0683872003306362e-07 - 5.8228768285421379e-07i
2.9346151832805288e-06 + 1.8843375755711839e-06i
1.4673072201156508e-06 + 9.4216854922695772e-07i
2.7389841782150917e-06 + 1.7587214961983671e-06i
1.3694921531364547e-06 + 8.7936078921260724e-07i
2.0867034997531063e-06 + 1.3398873678780177e-06i
1.0433517618011969e-06 + 6.6994369159590803e-07i
1.0985520601751348e-06 + 7.0538820132291472e-07i
5.4927594351791899e-07 + 3.5269404507446174e-07i
3.1097248103007622e-07 + 1.9967767300874961e-07i
1.5548663367012865e-07 + 9.9839088952093567e-08i
2.8489515536421510e-06 + 1.8293323411175628e-06i
1.4244756248429483e-06 + 9.1466607297252963e-07i
2.4760522471166157e-06 + 1.5898910068009558e-06i
1.2380261851342082e-06 + 7.9494554293880604e-07i
1.5713347514010996e-06 + 1.0089653773807416e-06i
7.8566728791660842e-07 + 5.0448263232366716e-07i
7.0777915147096609e-07 + 4.5447009813114712e-07i
3.5388979495819066e-07 + 2.2723518983005418e-07i
2.5953548458468908e-06 + 1.6664960659349582e-06i
1.2976773089660855e-06 + 8.3324795979463394e-07i
2.0238126609799521e-06 + 1.2995047066914372e-06i
1.0119063819654947e-06 + 6.4975238639851627e-07i
1.2392839064334712e-06 + 7.9575313485659595e-07i
6.1964200644533412e-07 + 3.9787660160676159e-07i
2.2123220750710391e-06 + 1.4205479611339661e-06i
1.1061610070895761e-06 + 7.1027396101741986e-07i
1.6729972696393030e-06 + 1.0742436135988531e-06i
8.3649872673039947e-07 + 5.3712186581597577e-07i
1.8949584767537022e-06 + 1.2167665056181181e-06i
9.4747929559745352e-07 + 6.0838328955081157e-07i
-1.8621231973275012e-07 - 1.1956827358688773e-07i
-9.3106055950048539e-08 - 5.9784070068016842e-08i
-6.5781579089537860e-07 - 4.2238826393675874e-07i
-3.2890776308868110e-07 - 2.1119404697970246e-07i
-1.2495216283120014e-06 - 8.0232684991603269e-07i
-6.2476099592892314e-07 - 4.0116354167571022e-07i
-1.6401112235925842e-06 - 1.0531272462363318e-06i
-8.2005542984445584e-07 - 5.2656350628556322e-07i
-1.7572526755441815e-06 - 1.1283446174361138e-06i
-8.7862649020355896e-07 - 5.6417240659539851e-07i
-4.7208084066096390e-07 - 3.0312651274784167e-07i
-2.3604026208615398e-07 - 1.5156315476409357e-07i
-1.0601113028092154e-06 - 6.8070511375808106e-07i
-5.3005565188735603e-07 - 3.4035255718901097e-07i
-1.6704708339852026e-06 - 1.0726213710430028e-06i
-8.3523537200862539e-07 - 5.3631065663695243e-07i
-1.9002444913527201e-06 - 1.2201606937183316e-06i
-9.5012227952363984e-07 - 6.1008036859273781e-07i
-9.5341355330293952e-07 - 6.1219371922532106e-07i
-4.7670667033268297e-07 - 3.0609679134459484e-07i
-1.5920835527339702e-06 - 1.0222883323706792e-06i
-7.9604180566466052e-07 - 5.1114418499758177e-07i
-1.9966764118575420e-06 - 1.2820803254053403e-06i
-9.9833813387648977e-07 - 6.4104011643736803e-07i
-1.4682676529596504e-06 - 9.4278525008336844e-07i
-7.3413375597490606e-07 - 4.7139257976996102e-07i
-1.9415998025259169e-06 - 1.2467152373045761e-06i
-9.7079987261054182e-07 - 6.2335760025435782e-07i
-1.8136773117476616e-06 - 1.1645752833141936e-06i
-9.0683859171456235e-07 - 5.8228760045995894e-07i
3.1097248103033250e-07 + 1.9967767300890126e-07i
1.5548584736008397e-07 + 9.9838584056736912e-08i
1.0985520601750909e-06 + 7.0538820132289090e-07i
5.4927611665719725e-07 + 3.5269415624844356e-07i
2.0867034997533727e-06 + 1.3398873678782380e-06i
1.0433517379520377e-06 + 6.6994367628221600e-07i
2.7389841782148651e-06 + 1.7587214961982631e-06i
1.3694920250785267e-06 + 8.7936070698571011e-07i
2.9346151832810709e-06 + 1.8843375755715147e-06i
1.4673079631651423e-06 + 9.4216902634438765e-07i
7.0777915147099023e-07 + 4.5447009813117253e-07i
3.5388935651278051e-07 + 2.2723490830109985e-07i
1.5713347514012821e-06 + 1.0089653773808932e-06i
7.8566746348458890e-07 + 5.0448274505715300e-07i
2.4760522471165640e-06 + 1.5898910068009673e-06i
1.2380260619823711e-06 + 7.9494546386214842e-07i
2.8489515536421616e-06 + 1.8293323411175886e-06i
1.4244759287992050e-06 + 9.1466626814504416e-07i
1.2392839064334888e-06 + 7.9575313485663693e-07i
6.1964189998816517e-07 + 3.9787653324986411e-07i
2.0238126609800029e-06 + 1.2995047066915153e-06i
1.0119062790144707e-06 + 6.4975232029295000e-07i
2.5953548458472500e-06 + 1.6664960659352303e-06i
1.2976775368809855e-06 + 8.3324810614046266e-07i
1.6729972696393985e-06 + 1.0742436135989441e-06i
8.3649854290894519e-07 + 5.3712174778291585e-07i
2.2123220750714012e-06 + 1.4205479611342350e-06i
1.1061610679816508e-06 + 7.1027400011668411e-07i
1.8949584767539091e-06 + 1.2167665056182878e-06i
9.4747918115638463e-07 + 6.0838321606740886e-07i
-9.9096457888437351e-07 - 6.3630550359400060e-07i
-9.9096465526288379e-07 - 6.3630555263718294e-07i
-1.0488765851201668e-06 - 6.7349122049771371e-07i
-1.0488768294404658e-06 - 6.7349137737752676e-07i
-1.0671475836345675e-06 - 6.8522316042633611e-07i
-1.0671476542875039e-06 - 6.8522320579307422e-07i
-1.0098019302641426e-06 - 6.4840110278236292e-07i
-1.0098023513782205e-06 - 6.4840137318273858e-07i
-9.3249199180070917e-07 - 5.9875983368455082e-07i
-9.3249159359733511e-07 - 5.9875957799530193e-07i
-1.1431882643930996e-06 - 7.3404942999710181e-07i
-1.1431881285700774e-06 - 7.3404934278415254e-07i
-1.2044523750512944e-06 - 7.7338755732803389e-07i
-1.2044524685367301e-06 - 7.7338761735569344e-07i
-1.1897869689888313e-06 - 7.6397079431869842e-07i
-1.1897866201422714e-06 - 7.6397057032179944e-07i
-1.1093612485667200e-06 - 7.1232885915213560e-07i
-1.1093613908061221e-06 - 7.1232895048508479e-07i
-1.3236797357009558e-06 - 8.4994430554780532e-07i
-1.3236796871454542e-06 - 8.4994427436996101e-07i
-1.3657221100565410e-06 - 8.7694001735894898e-07i
-1.3657223453242897e-06 - 8.7694016842606842e-07i
-1.3115782462444475e-06 - 8.4217385188382221e-07i
-1.3115782441355212e-06 - 8.4217385052966513e-07i
-1.4380590483296264e-06 - 9.2338808716596457e-07i
-1.4380592184937416e-06 - 9.2338819642957020e-07i
-1.4358582060968676e-06 - 9.2197491049438249e-07i
-1.4358580925587111e-06 - 9.2197483759071433e-07i
-1.4719446061840368e-06 - 9.4514624826936231e-07i
-1.4719453731454087e-06 - 9.4514674074079362e-07i
